'ai'guo'zhu'yi 爱国主义
'ai'sheng'hao'wei'er 爱生豪威尔
'ai'sen'hao'wei'er 艾森豪威尔
'ai'lu 隘路
'an'ding'qi 安定器
'an'quan'dian'liu 安全电流
'an'quan'ji'liang 安全剂量
'an'quan'jie 安全界
'an'quan'ju'li 安全距离
'an'quan'mi'du 安全密度
'an'quan'shen'du 安全深度
'an'bu 鞍部
'an'bian 岸边
'an'bian'jie'tao'zhou 岸边节套舟
'an'bian'ma'tou 岸边码头
'an'bian'qi'cai 岸边器材
'an'bian'zhou 岸边舟
'an'fang 岸防
'an'fang'bing 岸防兵
'an'fang'bing'bu'dui 岸防兵部队
'an'pao 岸炮
'an'shang'mu'biao 岸上目标
'an'shang'zhi'hui'suo 岸上指挥所
'an'tan 岸滩
'an'tan'zhang'ai'wu 岸滩障碍物
'an'ji'ren'jiao 按级任教
'an'ji'zhi'hui 按级指挥
'an'ji'hua 按计划
'an'bao 暗堡
'an'he 暗河
'an'jiao 暗礁
'an'wa'shi'gong'shi 暗挖式工事
'an'yu 暗语
'ao'di 凹地
'ao'xing'xie'mian 凹形斜面
'ba'lu'jun 八路军
'ba'nian'kang'zhan 八年抗战
'ba'qi 八旗
'ba'qi'bing 八旗兵
'ba'yi'chang 八一厂
'ba'yi'jiang'zhang 八一奖章
'ba'yi'jun'qi 八一军旗
'ba'yi'mao'hui 八一帽徽
'ba'yi'ti'gong'dui 八一体工队
'ba'yi'xun'zhang 八一勋章
'ba'lie'fu'fang'xian 巴列夫防线
'ba'zhuang'ji 拔桩机
'ba'ji 靶机
'ba'lei 靶雷
'ba'zi 靶子
'bai'chong'xi 白崇禧
'bai'ling'hai'xia 白令海峡
'bai'pao'yi 白袍衣
'bai'ren'ge'dou 白刃格斗
'bai'yan 白烟
'bai'nian'zhan'zheng 百年战争
'bai'se'qi'yi 百色起义
'bai'tuan'da'zhan 百团大战
'bai'wan'xiong'shi 百万雄师
'bai'zhan'qi'fa 百战奇法
'bai'zhan'qi'lue 百战奇略
'bo'lin'zhan'yi 柏林战役
'ban'zhang 班长
'ban'fu 班副
'ban'shao 班哨
'ban'yong 班用
'ban'dao 半岛
'ban'du'ji 半渡击
'ban'qian 半潜
'ban'qian'zhuang'tai 半潜状态
'ban'shuai'qi 半衰期
'ban'shuai'ruo'ceng 半衰弱层
'ban'zhe'bi'zhen'di 半遮蔽阵地
'ban'zhi'jie 半直接
'ban'zhi'si'ji'liang 半致死剂量
'ban'zhou 半舟
'ban'sui'xiu'li 伴随修理
'ban'fa 绊发
'ban'xian 绊线
'ban'xian'zhou 绊线轴
'ban'zhuang 绊桩
'bao'wei 包围
'bao'hu'mi'cai 保护迷彩
'bao'mi 保密
'bao'mi'hua'wang 保密话网
'bao'mi'xing 保密性
'bao'mi'zhi'du 保密制度
'bao'shou'di'fang 保守地方
'bao'wei'zhan 保卫战
'bao'xian'dao 保险道
'bao'xian'xiao 保险销
'bao'yang'jian 保养间
'bao'zhang'bu'dui 保障部队
'bao'zhang'dui 保障队
'bao'zhang'ji'xie 保障机械
'bao'zhang'qun 保障群
'bao'zhang'yin'dao 保障引导
'bao'fei'zhuang'bei 报废装备
'bao'gao 报告
'bao'gao'wen'shu 报告文书
'bao'wu'yuan 报务员
'bao'zhi'tong'xin 报知通信
'bao'zhi'tong'xin'wang 报知通信网
'bao'lu'ren'yuan 暴露人员
'bao'lu'yi'ce 暴露翼侧
'bao'lu'zhen'di 暴露阵地
'bao'lu'zheng'hou 暴露征候
'bao'gao 爆高
'bao'hou 爆后
'bao'po 爆破
'bao'po'tan 爆破弹
'bao'po'dan 爆破弹
'bao'po'qi'cai 爆破器材
'bao'po'ren'wu 爆破任务
'bao'po'tong 爆破筒
'bao'po'zu 爆破组
'bao'po'zuo'ye 爆破作业
'bao'qian 爆前
'bao'qu 爆区
'bao'shen 爆深
'bao'su 爆速
'bao'xin 爆心
'bao'zha 爆炸
'bao'zha'dai 爆炸带
'bao'zha'gao'du 爆炸高度
'bao'zha'he'zai 爆炸荷载
'bao'zha'ri 爆炸日
'bao'zha'shan'guang 爆炸闪光
'bao'zha'shen'du 爆炸深度
'bao'zha'zhong'xin 爆炸中心
'bao'zhen'bo 爆震波
'bao'zhen'feng 爆震风
'bei'dou 北斗
'bei'dou'xing 北斗星
'bei'fa'zhan'zheng 北伐战争
'bei'fang'zhan'zheng 北方战争
'bei'ji'xing 北极星
'bei'jing'jun'qu 北京军区
'bei'jing'shi'jian 北京时间
'bei'lei'qiao 贝雷桥
'bei'jian 备件
'bei'jian'ku 备件库
'bei'jiang 备降
'bei'jiang'chang 备降场
'bei'jiang'ji'chang 备降机场
'bei'kao'wen'shu 备考文书
'bei'ke 备课
'bei'yong'pin'lv 备用频率
'bei'shui'gong'ji 背水攻击
'bei'shui'zuo'zhan 背水作战
'bei'dong 被动
'bei'dong'shi 被动式
'bei'dong'shi'sheng'na 被动式声纳
'bei'fang'hu 被防护
'bei'fang'hu'dui'xiang 被防护对象
'bei'fu 被服
'bei'fu 被俘
'bei'fu 被覆
'bei'fu'xian 被覆线
'bei'fu'xian'lu 被覆线路
'bei'ju 被具
'bei'po'tiao'san 被迫跳伞
'bei'zhuang 被装
'ben'xi 奔袭
'ben'dui 本队
'ben'ji'zhan'shu 本级战术
'ben'ke 本科
'ben'zai'yu'zheng 本在于政
'ben'lv'yi'tong 苯氯乙酮
'beng'ya 崩崖
'bi'jin 逼近
'bi'dang'liang 比当量
'bi'gao 比高
'bi'li'bao'gao 比例爆高
'bi'wei'li 比威力
'bi'wu 比武
'bi'xue'gan'bang'chao 比学赶帮超
'bi'zi 比兹
'bi'ci 比兹
'bi'ye'kao'shi 毕业考试
'bi'se'men'qiao 闭塞门桥
'bi'tan'suo 避弹所
'bi'dan'suo 避弹所
'bi'kai'she'ji 避开射击
'bi'shi'ji'xu 避实击虚
'bi'zhang 臂章
'bian'fang 边防
'bian'fang'bu'dui 边防部队
'bian'fang'bu'shu 边防部署
'bian'fang'dou'zheng 边防斗争
'bian'fang'guan'cha 边防观察
'bian'fang'hui'shao 边防会哨
'bian'fang'hui'tan 边防会谈
'bian'fang'hui'wu 边防会晤
'bian'fang'jian'she 边防建设
'bian'fang'qian'fu 边防潜伏
'bian'fang'qin'wu 边防勤务
'bian'fang'shao'suo 边防哨所
'bian'fang'xun'luo 边防巡逻
'bian'fang'yi'xian 边防一线
'bian'fang'zhan 边防站
'bian'fang'zheng'ce 边防政策
'bian'ji'he 边集合
'bian'jie 边界
'bian'jie'chong'tu 边界冲突
'bian'jie'he'liu 边界河流
'bian'jie'shi'jian 边界事件
'bian'jie'ta'cha 边界踏查
'bian'jie'xian'zhuang 边界现状
'bian'jie'xian 边界线
'bian'jing 边境
'bian'jing'di'qu 边境地区
'bian'jing'guan'cha 边境观察
'bian'jing'guan'li 边境管理
'bian'jing'jin'qu 边境禁区
'bian'jing'kan'ce 边境勘测
'bian'jing'qian'fu 边境潜伏
'bian'jing'shi 边境市
'bian'jing'xian 边境县
'bian'qian'jin 边前进
'bian'zhou 边舟
'bian'cheng 编成
'bian'dui 编队
'bian'dui'fang'yu 编队防御
'bian'dui'gong'ji 编队攻击
'bian'dui'hang'xing 编队航行
'bian'dui'xun'lian 编队训练
'bian'dui'yun'dong 编队运动
'bian'dui'zhu'li 编队主力
'bian'ma'tong'xin 编码通信
'bian'nei 编内
'bian'nei'zhi'gong 编内职工
'bian'pei'bi'li 编配比例
'bian'ru'yu'bei'yi 编入预备役
'bian'wai 编外
'bian'wai'ding'bian 编外定编
'bian'wai'zhi'gong 编外职工
'bian'zhi 编制
'bian'zhi'biao'zhun 编制标准
'bian'zhi'biao 编制表
'bian'zhi'fang'an 编制方案
'bian'zhi'jun'xian 编制军衔
'bian'zhi'xi'tong 编制系统
'bian'zhi'yuan'e 编制员额
'bian'zhi'zhi'wu 编制职务
'bian'zu 编组
'bian'zu'lian'xi 编组练习
'bian'zu'zuo'ye 编组作业
'bian'xie'shi 便携式
'bian'geng'bu'shu 变更部署
'bian'hou'lue'yi 变后掠翼
'bian'huan'zhan'shu 变换战术
'bian'xing'di 变形地
'bian'xing'de 变形地
'bian'xing'mi'cai 变形迷彩
'bian'xing'zhe'zhang 变形遮障
'biao'ding 标定
'biao'ding'di'tu 标定地图
'biao'ding'she'ji 标定射击
'biao'gao 标高
'biao'kong 标孔
'biao'shi'sheng 标示绳
'biao'shi'tong'lu 标示通路
'biao'tu 标图
'biao'zhi 标志
'biao'zhi'tan 标志弹
'biao'zhi'dan 标志弹
'biao'zhi'deng'ta 标志灯塔
'biao'zhun 标准
'biao'zhun'shi 标准时
'biao'chi 表尺
'biao'chi'ju'li 表尺距离
'biao'mian'zhan'ran 表面沾染
'bin'hai 滨海
'bin'hai'gang'kou 滨海港口
'bin'hai 濒海
'bin'hai'yi'ce 濒海翼侧
'bin'lu 濒陆
'bin'lu'hai'qu 濒陆海区
'bing'shang 冰上
'bing'shang'du'chang 冰上渡场
'bing'shang'du'he 冰上渡河
'bing'xue 冰雪
'bing'xue'zhang'ai'wu 冰雪障碍物
'bing'bu'yan'zha 兵不厌诈
'bing'fa 兵法
'bing'fei'yi'duo 兵非益多
'bing'gui'bi'yi 兵诡必疑
'bing'gui'shen'su 兵贵神速
'bing'jiao'bing 兵教兵
'bing'jiao'guan 兵教官
'bing'li 兵力
'bing'li'bian'zu 兵力编组
'bing'li'dui'bi 兵力对比
'bing'li'ji'dong 兵力机动
'bing'li'qu'fen 兵力区分
'bing'qi 兵棋
'bing'qi'zuo'ye 兵棋作业
'bing'qi'xi'tong 兵器系统
'bing'quan'gui'yi 兵权贵一
'bing'tuan 兵团
'bing'wu'chang'shi 兵无常势
'bing'yao'di'zhi 兵要地志
'bing'yi'jing'sheng 兵以静胜
'bing'yi 兵役
'bing'yi'fa 兵役法
'bing'yi'zhi'du 兵役制度
'bing'yuan 兵员
'bing'yuan'bu'tui 兵员补退
'bing'zhan 兵站
'bing'zhi'sheng'bai 兵之胜败
'bing'zhong 兵种
'bing'zhong'zhan'shu 兵种战术
'bing'she'xian 丙射线
'bing'jian'tu'ji 并肩突击
'bing'zhou'ju 并舟具
'bo'ban'jian 波瓣间
'bo'ci 波次
'bo'duan 波段
'bo'zhuang'xie'mian 波状斜面
'bu'chong'qing'kuang 补充情况
'bu'chong'ren'wu 补充任务
'bu'chong'xiang'ding 补充想定
'bu'gei 补给
'bu'ji 补给
'bu'gei'dan'shui 补给淡水
'bu'ji'dan'shui 补给淡水
'bu'ji'dian 补给点
'bu'zhuo'zhan'ji 捕捉战机
'bu'tiao'xi'fu'nv 不调戏妇女
'bu'liang'tian'hou 不良天候
'bu'na'qun'zhong'yi'zhen'yi'xian 不拿群众一针一线
'bu'nue'dai'fu'lu 不虐待俘虏
'bu'sun'huai'zhuang'jia 不损坏庄家
'bu'ban 布板
'bu'ban'xin'hao 布板信号
'bu'gao 布告
'bu'lei 布雷
'bu'lei'che 布雷车
'bu'lei'tan 布雷弹
'bu'lei'dan 布雷弹
'bu'lei'jian 布雷舰
'bu'lei'mi'du 布雷密度
'bu'lei'qi 布雷器
'bu'ni'zhan'zheng 布匿战争
'bu'shi'gan'jun 布氏杆菌
'bu'bing 步兵
'bu'bing'da'zai 步兵搭载
'bu'bing'fu'qiao 步兵浮桥
'bu'bing'wu'qi 步兵武器
'bu'bing'zhan'che 步兵战车
'bu'bu'wei'ying 步步为营
'bu'ce 步测
'bu'hua'ji 步话机
